============================================================
      FINANCIAL STRATEGY BACKTEST REPORT
============================================================
Report Generated: 2025-07-30 11:21:43

--- PERFORMANCE METRICS ---
Initial Portfolio Value: $100,000.00
Final Portfolio Value:   $65,869.92
2005-10-11 09:30:00 | BUY   | 599.5927 units @ $118.97
2005-10-13 09:30:00 | SELL  | All units @ $121.15 | PnL: $1,307.11 (1.83%)
2005-10-14 09:30:00 | BUY   | 591.7291 units @ $122.76
2005-10-25 09:30:00 | SELL  | All units @ $119.10 | PnL: $-2,165.73 (-2.98%)
2005-10-26 09:30:00 | BUY   | 596.8406 units @ $118.08
2005-11-02 09:30:00 | SELL  | All units @ $112.76 | PnL: $-3,175.19 (-4.51%)
2005-11-03 09:30:00 | BUY   | 603.3146 units @ $111.55
2005-11-07 09:30:00 | SELL  | All units @ $110.54 | PnL: $-609.35 (-0.91%)
2005-11-08 09:30:00 | BUY   | 606.4417 units @ $109.97
2005-12-05 09:30:00 | SELL  | All units @ $106.42 | PnL: $-2,152.87 (-3.23%)
2005-12-07 09:30:00 | BUY   | 605.2474 units @ $106.63
2005-12-08 09:30:00 | SELL  | All units @ $107.40 | PnL: $466.04 (0.72%)
2005-12-09 09:30:00 | BUY   | 605.5857 units @ $107.34
2005-12-13 09:30:00 | SELL  | All units @ $109.31 | PnL: $1,193.00 (1.84%)
2005-12-14 09:30:00 | BUY   | 610.6695 units @ $108.40
2006-01-04 09:30:00 | SELL  | All units @ $111.86 | PnL: $2,112.92 (3.19%)
2006-01-05 09:30:00 | BUY   | 613.4664 units @ $111.35
2006-01-06 09:30:00 | SELL  | All units @ $112.08 | PnL: $447.83 (0.66%)
2006-01-09 09:30:00 | BUY   | 606.2721 units @ $113.41
2006-01-20 09:30:00 | SELL  | All units @ $115.18 | PnL: $1,073.10 (1.56%)
2006-01-23 09:30:00 | BUY   | 604.0171 units @ $115.61
2006-01-24 09:30:00 | SELL  | All units @ $115.24 | PnL: $-223.49 (-0.32%)
2006-01-24 09:30:00 | BUY   | 604.0171 units @ $115.24
2006-01-31 09:30:00 | SELL  | All units @ $113.45 | PnL: $-1,081.19 (-1.55%)
2006-02-01 09:30:00 | BUY   | 602.4241 units @ $113.75
2006-02-08 09:30:00 | SELL  | All units @ $114.51 | PnL: $457.84 (0.67%)
2006-02-10 09:30:00 | BUY   | 605.9164 units @ $113.85
2006-02-14 09:30:00 | SELL  | All units @ $114.59 | PnL: $448.38 (0.65%)
2006-02-15 09:30:00 | BUY   | 613.3565 units @ $113.20
2006-02-22 09:30:00 | SELL  | All units @ $113.49 | PnL: $177.87 (0.26%)
2006-02-24 09:30:00 | BUY   | 619.7457 units @ $112.32
2006-02-28 09:30:00 | SELL  | All units @ $110.00 | PnL: $-1,437.81 (-2.07%)
2006-03-01 09:30:00 | BUY   | 620.6484 units @ $109.84
2006-03-03 09:30:00 | SELL  | All units @ $108.12 | PnL: $-1,067.52 (-1.57%)
2006-03-06 09:30:00 | BUY   | 627.0863 units @ $107.01
2006-03-21 09:30:00 | SELL  | All units @ $105.58 | PnL: $-896.73 (-1.34%)
2006-03-22 09:30:00 | BUY   | 639.0095 units @ $103.61
2006-03-31 09:30:00 | SELL  | All units @ $104.47 | PnL: $549.55 (0.83%)
2006-04-03 09:30:00 | BUY   | 639.9897 units @ $104.31
2006-04-07 09:30:00 | SELL  | All units @ $107.09 | PnL: $1,779.17 (2.67%)
2006-04-10 09:30:00 | BUY   | 649.0813 units @ $105.59
2006-04-26 09:30:00 | SELL  | All units @ $98.69 | PnL: $-4,478.66 (-6.53%)
2006-04-27 09:30:00 | BUY   | 658.2862 units @ $97.31
2006-05-03 09:30:00 | SELL  | All units @ $98.15 | PnL: $552.96 (0.86%)
2006-05-04 09:30:00 | BUY   | 670.1669 units @ $96.41
2006-05-05 09:30:00 | SELL  | All units @ $96.46 | PnL: $33.51 (0.05%)
2006-05-10 09:30:00 | BUY   | 668.4345 units @ $96.71
2006-05-12 09:30:00 | SELL  | All units @ $99.80 | PnL: $2,065.46 (3.20%)
2006-05-15 09:30:00 | BUY   | 674.2447 units @ $98.94
2006-06-01 09:30:00 | SELL  | All units @ $100.38 | PnL: $970.91 (1.46%)
2006-06-05 09:30:00 | BUY   | 670.5705 units @ $100.93
2006-06-09 09:30:00 | SELL  | All units @ $100.74 | PnL: $-127.41 (-0.19%)
2006-06-13 09:30:00 | BUY   | 680.9805 units @ $99.20
2006-06-14 09:30:00 | SELL  | All units @ $98.98 | PnL: $-149.82 (-0.22%)
2006-06-26 09:30:00 | BUY   | 729.0801 units @ $92.45
2006-06-27 09:30:00 | SELL  | All units @ $92.79 | PnL: $247.89 (0.37%)
2006-06-28 09:30:00 | BUY   | 720.3081 units @ $93.92
2006-06-30 09:30:00 | SELL  | All units @ $93.29 | PnL: $-453.79 (-0.67%)
2006-07-03 09:30:00 | BUY   | 733.7579 units @ $91.58
2006-07-05 09:30:00 | SELL  | All units @ $92.03 | PnL: $330.19 (0.49%)
2006-07-07 09:30:00 | BUY   | 751.3099 units @ $89.88
2006-07-10 09:30:00 | SELL  | All units @ $90.67 | PnL: $593.53 (0.88%)
2006-07-12 09:30:00 | BUY   | 731.0718 units @ $93.18
2006-08-07 09:30:00 | SELL  | All units @ $98.41 | PnL: $3,823.51 (5.61%)
2006-08-08 09:30:00 | BUY   | 731.7410 units @ $98.32
2006-08-09 09:30:00 | SELL  | All units @ $98.37 | PnL: $36.59 (0.05%)
2006-08-10 09:30:00 | BUY   | 727.7461 units @ $98.91
2006-08-25 09:30:00 | SELL  | All units @ $96.07 | PnL: $-2,066.80 (-2.87%)
2006-08-28 09:30:00 | BUY   | 732.0897 units @ $95.50
2006-08-30 09:30:00 | SELL  | All units @ $94.28 | PnL: $-893.15 (-1.28%)
2006-08-31 09:30:00 | BUY   | 724.4822 units @ $95.27

============================================================
